[2017-10-22 10:58:37]	 Pacman collected 1 points!
[2017-10-22 10:58:38]	 Pacman collected 1 points!
[2017-10-22 10:58:39]	 Pacman collected 1 points!
[2017-10-22 10:58:39]	 Pacman collected 1 points!
[2017-10-22 10:58:39]	 Pacman collected 1 points!
[2017-10-22 10:58:40]	 Pacman collected 1 points!
[2017-10-22 10:58:40]	 Pacman collected 1 points!
[2017-10-22 10:58:40]	 Pacman collected 1 points!
[2017-10-22 10:58:40]	 Pacman collected 1 points!
[2017-10-22 10:58:42]	 Pacman collected 1 points!
[2017-10-22 10:58:42]	 Pacman collected 5 points!
[2017-10-22 10:58:43]	 Pacman collected 1 points!
[2017-10-22 10:58:43]	 Pacman collected 1 points!
[2017-10-22 10:58:46]	 Pacman collected 1 points!
[2017-10-22 10:58:49]	 Pacman collected 1 points!
[2017-10-22 10:58:52]	 Pacman collected 1 points!
